frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3876810074,0.0132662412,-67.9882736206,1.5335246443896816e-05,-48.14309240329394
25.76301385940817,3.9541583061,0.031632401,92.6315612793,6.399649811911742e-05,-41.938437899091305
66.3732883120057,4.0629143715,0.0785647184,88.9243087769,0.00037392093207481997,-34.2722022238219
170.99759466766963,4.0502576828,0.2021843195,85.8196716309,0.0024918943897450775,-26.034703676801495
440.54134013486333,3.9879443645,0.5797976851,77.392074585,0.021137556057460725,-16.749452276301056
1134.9672651536732,3.0537796021,2.0017151833,-13.4693880081,0.42966421741290506,-3.6687081300728
2924.0177382128636,4.084675312,0.5064316392,-80.4210510254,0.015371865635238284,-18.13273420338941
7533.150951473333,4.1077141762,0.1778823286,-86.1016998291,0.0018752759262427637,-27.26934821574588
19407.667236782134,4.1208319664,0.0667052791,-87.7264022827,0.00026202974826104676,-35.81649400389359
49999.99999999999,4.0827927589,0.0214528404,-80.5594406128,2.7609270511102348e-05,-45.58945068086858
