frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3696227074,0.0152028007,-93.6503448486,2.0355634867897447e-05,-46.91315347948061
25.76301385940817,3.9327833652,0.0340600014,91.0515289307,7.500483749845076e-05,-41.24910725526536
66.3732883120057,4.0658955574,0.0860639587,89.2838287354,0.000448053836159125,-33.48669799970349
170.99759466766963,4.0784082413,0.2147760093,86.9815216064,0.0027732571781987772,-25.57009854225386
440.54134013486333,4.0407590866,0.5519138575,81.5872955322,0.018655920422041707,-17.291833194265408
1134.9672651536732,4.0531907082,1.4859313965,67.4233779907,0.13440129131946144,-8.715965585870869
2924.0177382128636,3.941868782,3.6749773026,13.8947372437,0.8691705359575655,-0.6089500426583501
7533.150951473333,4.0752830505,1.937584877,-60.7229042053,0.2260507309856241,-6.457940842390229
19407.667236782134,4.0871968269,0.6780987382,-80.4344558716,0.027525471530494536,-15.602652325255919
49999.99999999999,4.0749378204,0.1658100039,-86.3495178223,0.00165569175694764,-27.810205133948564
